target,params
-54.91379665374756,"{'delta_huber': 4.28156956123427, 'lambda_huber': 0.6351496886387907, 'lambda_l2': 7.866012100708834e-05}"
-55.04901727676392,"{'delta_huber': 0.5132485091646125, 'lambda_huber': 0.7950855604006781, 'lambda_l2': 5.185638465913822e-05}"
-118.81082237243652,"{'delta_huber': 3.9479536354865887, 'lambda_huber': 0.9893224758940633, 'lambda_l2': 9.578424083059007e-05}"
-48.242301807403564,"{'delta_huber': 2.3037908115973296, 'lambda_huber': 0.6324238712163384, 'lambda_l2': 4.122017167271758e-05}"
-41.548732109069825,"{'delta_huber': 4.328987983858796, 'lambda_huber': 0.736135533181348, 'lambda_l2': 1.4090501828011412e-05}"
-53.21481651306152,"{'delta_huber': 3.136041725027551, 'lambda_huber': 0.49827832775346204, 'lambda_l2': 5.157032295408575e-05}"
-49.030877056121824,"{'delta_huber': 4.930152574982071, 'lambda_huber': 0.43507644450892513, 'lambda_l2': 9.447119208385365e-05}"
-111.60523746490479,"{'delta_huber': 2.8699830765661933, 'lambda_huber': 0.9951719219732058, 'lambda_l2': 7.217663861480518e-05}"
-47.91342990875244,"{'delta_huber': 0.4589304748752604, 'lambda_huber': 0.7896843794734019, 'lambda_l2': 5.8049870834079075e-05}"
-58.95031213760376,"{'delta_huber': 0.19152006203938415, 'lambda_huber': 0.583360641652736, 'lambda_l2': 3.3219577888448217e-05}"
-46.29673528671265,"{'delta_huber': 4.311941572501255, 'lambda_huber': 0.896425846705911, 'lambda_l2': 1.0868668760028261e-05}"
-41.56056098937988,"{'delta_huber': 3.335696366359627, 'lambda_huber': 0.8603721006512554, 'lambda_l2': 8.434199896177266e-05}"
-51.852793521881104,"{'delta_huber': 3.601171685015663, 'lambda_huber': 0.566504577071196, 'lambda_l2': 6.0485613712633265e-05}"
-55.98668598175049,"{'delta_huber': 3.3155163601473996, 'lambda_huber': 0.4248515925789373, 'lambda_l2': 2.0835003696543522e-05}"
-132.05668296813965,"{'delta_huber': 0.148170889020544, 'lambda_huber': 0.47574670599988306, 'lambda_l2': 4.843660963213003e-05}"
-113.60326152801514,"{'delta_huber': 2.833722055948368, 'lambda_huber': 0.9608121601255639, 'lambda_l2': 4.646520479865991e-05}"
-40.12135690689087,"{'delta_huber': 1.3576841733388223, 'lambda_huber': 0.6596944990951898, 'lambda_l2': 2.3143203777625967e-05}"
-59.04825653076172,"{'delta_huber': 0.5319679961054042, 'lambda_huber': 0.6067872719807001, 'lambda_l2': 4.742326683745689e-05}"
-47.326474304199216,"{'delta_huber': 2.0499503493603988, 'lambda_huber': 0.9708504253754722, 'lambda_l2': 6.52301702525322e-05}"
-116.85813365936279,"{'delta_huber': 4.92846338545626, 'lambda_huber': 0.9898338266565808, 'lambda_l2': 9.565487187309155e-05}"
-49.37923427581787,"{'delta_huber': 2.177399120336728, 'lambda_huber': 0.9126051164247082, 'lambda_l2': 3.0478375940995428e-05}"
-125.29006706237793,"{'delta_huber': 0.10923635505190611, 'lambda_huber': 0.5877447965076112, 'lambda_l2': 5.105769798604439e-05}"
-53.96412364959717,"{'delta_huber': 4.503957856419019, 'lambda_huber': 0.6036004284274917, 'lambda_l2': 7.418829968526918e-05}"
-52.376020736694336,"{'delta_huber': 4.332227983102374, 'lambda_huber': 0.4125880316497465, 'lambda_l2': 5.907747560582091e-05}"
-55.64773439407349,"{'delta_huber': 3.4344233106720505, 'lambda_huber': 0.6502183330685161, 'lambda_l2': 5.1360418762548424e-05}"
-47.04072950363159,"{'delta_huber': 4.070551168098604, 'lambda_huber': 0.7698901880488431, 'lambda_l2': 8.407768555428289e-05}"
-51.96965953826904,"{'delta_huber': 2.953937799240643, 'lambda_huber': 0.4727447669834585, 'lambda_l2': 2.394986582920873e-05}"
-48.51689863204956,"{'delta_huber': 1.9236535121754097, 'lambda_huber': 0.5580491799178499, 'lambda_l2': 6.49053266059979e-05}"
-44.805122718811035,"{'delta_huber': 4.388284784647697, 'lambda_huber': 0.41021612885203923, 'lambda_l2': 7.216904962676082e-05}"
-45.157308425903324,"{'delta_huber': 2.78624230282268, 'lambda_huber': 0.7404278855936517, 'lambda_l2': 8.32972271640386e-05}"
-49.37208112716675,"{'delta_huber': 4.096004710958474, 'lambda_huber': 0.4457862590915904, 'lambda_l2': 4.0723501427779225e-05}"
-56.002217025756835,"{'delta_huber': 0.303242288052502, 'lambda_huber': 0.641437570795445, 'lambda_l2': 4.8438142232930524e-05}"
-49.412468070983884,"{'delta_huber': 0.4657859515919479, 'lambda_huber': 0.7929113885415435, 'lambda_l2': 6.115040544581551e-05}"
-44.25094928741455,"{'delta_huber': 4.20182035682712, 'lambda_huber': 0.7949350229406564, 'lambda_l2': 2.3879721816287232e-05}"
-54.42378387451172,"{'delta_huber': 4.068549145699042, 'lambda_huber': 0.42069041491479126, 'lambda_l2': 2.9671796286591987e-05}"
-50.60482915878296,"{'delta_huber': 1.5011897353268848, 'lambda_huber': 0.6288607051871947, 'lambda_l2': 2.665817917931968e-05}"
-48.73779695510864,"{'delta_huber': 1.3326314115095537, 'lambda_huber': 0.5121210361024269, 'lambda_l2': 9.139124066164023e-05}"
-119.08153381347657,"{'delta_huber': 0.269760106470305, 'lambda_huber': 0.517448004402199, 'lambda_l2': 6.629713854231104e-05}"
-47.25222604751587,"{'delta_huber': 2.95402610399963, 'lambda_huber': 0.47289060927268917, 'lambda_l2': 6.0187876690063276e-05}"
-58.675644092559814,"{'delta_huber': 1.2486646840713893, 'lambda_huber': 0.5294635901006477, 'lambda_l2': 8.320960759967573e-05}"
-55.10600070953369,"{'delta_huber': 0.4606175424951081, 'lambda_huber': 0.7885227620322762, 'lambda_l2': 4.062960743445707e-05}"
-39.80579317092896,"{'delta_huber': 1.3770339043922157, 'lambda_huber': 0.9198097646722155, 'lambda_l2': 2.6997752259420492e-05}"
-51.6295698928833,"{'delta_huber': 2.9539553301939128, 'lambda_huber': 0.4763451959300908, 'lambda_l2': 9.184050674246013e-05}"
-54.92257616043091,"{'delta_huber': 4.8518989876144865, 'lambda_huber': 0.40998101354971994, 'lambda_l2': 6.261386915427362e-05}"
-43.75532859802246,"{'delta_huber': 4.801139697109362, 'lambda_huber': 0.9329439659277318, 'lambda_l2': 9.014707744128841e-05}"
-39.67426706314087,"{'delta_huber': 1.3762645518919254, 'lambda_huber': 0.9162671965294166, 'lambda_l2': 3.796395882501873e-05}"
-45.560858974456785,"{'delta_huber': 1.3806050530060723, 'lambda_huber': 0.9178016713869711, 'lambda_l2': 8.529654533193085e-05}"
-48.84765537261963,"{'delta_huber': 1.5426637699776575, 'lambda_huber': 0.5992326066501305, 'lambda_l2': 6.37030780314822e-05}"
-48.552472286224365,"{'delta_huber': 2.9561493390146696, 'lambda_huber': 0.4724861361558077, 'lambda_l2': 4.416215653704038e-05}"
-40.13535472869873,"{'delta_huber': 1.372146062735616, 'lambda_huber': 0.9199926983792934, 'lambda_l2': 9.131862640032901e-05}"
-38.858696937561035,"{'delta_huber': 4.804685828279792, 'lambda_huber': 0.9320436221479119, 'lambda_l2': 6.641269921369149e-05}"
-42.7969543838501,"{'delta_huber': 2.9595022556647743, 'lambda_huber': 0.475316456384836, 'lambda_l2': 2.3245801977316047e-05}"
-41.93872785568237,"{'delta_huber': 4.801822538464428, 'lambda_huber': 0.9371019066964471, 'lambda_l2': 5.3458473312333366e-05}"
-48.683385887145995,"{'delta_huber': 1.3550632606108388, 'lambda_huber': 0.6593799030961217, 'lambda_l2': 8.168496322352457e-05}"
-41.01605989456177,"{'delta_huber': 3.3392517671055253, 'lambda_huber': 0.8596670691595758, 'lambda_l2': 5.5078995370007836e-05}"
-47.47995241165161,"{'delta_huber': 1.372656950014466, 'lambda_huber': 0.9235957402739575, 'lambda_l2': 7.338445125565956e-05}"
-46.01492870330811,"{'delta_huber': 4.205546173798735, 'lambda_huber': 0.7956399799014453, 'lambda_l2': 9.931451332435524e-05}"
-48.712539520263675,"{'delta_huber': 4.33323223906899, 'lambda_huber': 0.7374079166836063, 'lambda_l2': 6.7192303023983e-05}"
-51.49385238647461,"{'delta_huber': 4.248973353009336, 'lambda_huber': 0.440702622021557, 'lambda_l2': 5.870577613907551e-05}"
-43.03836309432983,"{'delta_huber': 3.33580021918708, 'lambda_huber': 0.8545046668301975, 'lambda_l2': 5.985714961235858e-05}"
-64.82577392578125,"{'delta_huber': 4.389969868769966, 'lambda_huber': 0.41480738907149434, 'lambda_l2': 5.9448575823492476e-05}"
-49.92731557846069,"{'delta_huber': 4.2045530256388846, 'lambda_huber': 0.7900215495279121, 'lambda_l2': 4.6141981196634105e-05}"
-56.015903549194334,"{'delta_huber': 4.1818006713795715, 'lambda_huber': 0.6057436409869231, 'lambda_l2': 8.722605669116798e-05}"
-53.59906316757202,"{'delta_huber': 1.3601762527846448, 'lambda_huber': 0.6572744535309754, 'lambda_l2': 3.592942128441371e-05}"
-44.04216522216797,"{'delta_huber': 4.804367350476202, 'lambda_huber': 0.9351214320726497, 'lambda_l2': 2.4698662536158033e-05}"
-43.00255987167358,"{'delta_huber': 1.2381113427803414, 'lambda_huber': 0.9929848668858425, 'lambda_l2': 5.0931131941916625e-05}"
-49.1903874206543,"{'delta_huber': 1.3689635234815756, 'lambda_huber': 0.9163716785749855, 'lambda_l2': 7.037534346410343e-05}"
-56.470179271698,"{'delta_huber': 2.8338189737431065, 'lambda_huber': 0.5189315554464395, 'lambda_l2': 1.1830808441016597e-05}"
-45.74145296096802,"{'delta_huber': 1.372743880706829, 'lambda_huber': 0.916286685708447, 'lambda_l2': 5.38615966013021e-06}"
-57.38515281677246,"{'delta_huber': 1.2748297189809357, 'lambda_huber': 0.7587267664618779, 'lambda_l2': 7.815248047088073e-05}"
-51.016003189086916,"{'delta_huber': 4.797823623642755, 'lambda_huber': 0.9410699592502966, 'lambda_l2': 8.524923447902254e-06}"
-42.19868768692017,"{'delta_huber': 4.801337360951917, 'lambda_huber': 0.9283475638846307, 'lambda_l2': 7.625340574599426e-05}"
-52.33174961090088,"{'delta_huber': 3.322387050418285, 'lambda_huber': 0.6808929173766616, 'lambda_l2': 6.206393375533871e-06}"
-54.30938514709473,"{'delta_huber': 1.357834895911002, 'lambda_huber': 0.6647679075114572, 'lambda_l2': 6.227388223639384e-05}"
-55.82442756652832,"{'delta_huber': 1.2573248136155637, 'lambda_huber': 0.6253747159386616, 'lambda_l2': 7.053991618045416e-05}"
-48.84366611480713,"{'delta_huber': 1.366850861188708, 'lambda_huber': 0.9205416240320209, 'lambda_l2': 9.317994936958574e-05}"
-127.90750400543213,"{'delta_huber': 1.496042293580553, 'lambda_huber': 0.5655264962387138, 'lambda_l2': 4.985025863863793e-05}"
-41.80162265777588,"{'delta_huber': 3.3323758396826277, 'lambda_huber': 0.8585346269262262, 'lambda_l2': 7.665275649035994e-05}"
-61.38901050567627,"{'delta_huber': 4.323849973887704, 'lambda_huber': 0.733490239042466, 'lambda_l2': 5.9106232251391905e-05}"
-45.826420860290526,"{'delta_huber': 1.3807582736524844, 'lambda_huber': 0.9236788886258414, 'lambda_l2': 2.268996466316123e-05}"
-55.447342529296876,"{'delta_huber': 1.30700149859592, 'lambda_huber': 0.8333655903774355, 'lambda_l2': 6.030365115871365e-05}"
-64.6499195098877,"{'delta_huber': 3.337115515981539, 'lambda_huber': 0.4002061829737703, 'lambda_l2': 4.407484512241259e-05}"
-44.801075592041016,"{'delta_huber': 3.3400400581571357, 'lambda_huber': 0.8635021562799313, 'lambda_l2': 8.579232941996561e-05}"
-40.65645542144775,"{'delta_huber': 3.32852168609652, 'lambda_huber': 0.8553528362731211, 'lambda_l2': 8.410108055527248e-05}"
-45.50181423187256,"{'delta_huber': 1.233617620346441, 'lambda_huber': 0.9919731981403519, 'lambda_l2': 9.13028797871906e-05}"
-62.3005588722229,"{'delta_huber': 4.996700342210977, 'lambda_huber': 0.7471826963075999, 'lambda_l2': 8.37984439454877e-05}"
-43.73194854736328,"{'delta_huber': 2.1207761296888075, 'lambda_huber': 0.762050749561686, 'lambda_l2': 1.6616199976576695e-05}"
-44.83009798049927,"{'delta_huber': 4.797431735204137, 'lambda_huber': 0.9301300395413835, 'lambda_l2': 9.098603230391112e-05}"
-44.198067817687985,"{'delta_huber': 2.783375344560751, 'lambda_huber': 0.7446826386508465, 'lambda_l2': 7.429107854041596e-05}"
-44.71319215774536,"{'delta_huber': 1.2392667003083615, 'lambda_huber': 0.9882326454368049, 'lambda_l2': 7.502814745362878e-05}"
